# Ecm || delta_mean delta_err || kcotd_mean kcotd_err || ksq ksq_err
0.644088 || 0  0 || 0.00082738  0.000101584 || -0.00705003  0
0.644102 || 0  0 || 0.000826292  0.000101432 || -0.00704552  0
0.644116 || 0  0 || 0.000825204  0.00010128 || -0.00704101  0
0.64413 || 0  0 || 0.000824114  0.000101127 || -0.0070365  0
0.644144 || 0  0 || 0.000823023  0.000100973 || -0.00703199  0
0.644158 || 0  0 || 0.000821931  0.000100819 || -0.00702748  0
0.644172 || 0  0 || 0.000820837  0.000100663 || -0.00702297  0
0.644186 || 0  0 || 0.000819743  0.000100507 || -0.00701846  0
0.6442 || 0  0 || 0.000818646  0.000100351 || -0.00701395  0
0.644214 || 0  0 || 0.000817549  0.000100193 || -0.00700944  0
0.644228 || 0  0 || 0.00081645  0.000100035 || -0.00700493  0
0.644242 || 0  0 || 0.00081535  9.98764e-05 || -0.00700042  0
0.644256 || 0  0 || 0.000814248  9.97168e-05 || -0.00699591  0
0.64427 || 0  0 || 0.000813145  9.95564e-05 || -0.0069914  0
0.644284 || 0  0 || 0.000812041  9.93954e-05 || -0.00698689  0
0.644298 || 0  0 || 0.000810935  9.92336e-05 || -0.00698238  0
0.644312 || 0  0 || 0.000809828  9.9071e-05 || -0.00697787  0
0.644326 || 0  0 || 0.00080872  9.89076e-05 || -0.00697336  0
0.64434 || 0  0 || 0.00080761  9.87436e-05 || -0.00696885  0
0.644354 || 0  0 || 0.000806499  9.85787e-05 || -0.00696434  0
0.644368 || 0  0 || 0.000805387  9.84131e-05 || -0.00695983  0
0.644382 || 0  0 || 0.000804273  9.82466e-05 || -0.00695531  0
0.644396 || 0  0 || 0.000803158  9.80795e-05 || -0.0069508  0
0.64441 || 0  0 || 0.000802041  9.79115e-05 || -0.00694629  0
0.644424 || 0  0 || 0.000800923  9.77427e-05 || -0.00694178  2.89121e-19
0.644438 || 0  0 || 0.000799803  9.75732e-05 || -0.00693727  2.89121e-19
0.644452 || 0  0 || 0.000798682  9.74028e-05 || -0.00693276  0
0.644466 || 0  0 || 0.00079756  9.72316e-05 || -0.00692825  2.89121e-19
0.64448 || 0  0 || 0.000796436  9.70597e-05 || -0.00692373  2.89121e-19
0.644494 || 0  0 || 0.000795311  9.68869e-05 || -0.00691922  2.89121e-19
0.644508 || 0  0 || 0.000794184  9.67133e-05 || -0.00691471  2.89121e-19
0.644522 || 0  0 || 0.000793056  9.65389e-05 || -0.0069102  2.89121e-19
0.644536 || 0  0 || 0.000791926  9.63636e-05 || -0.00690569  2.89121e-19
